Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
Elysium;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/x-_Q7oSIc-rBFnsGfnnmC2NH_JI=/fit-in/900x600/filters:no_upscale()/pic2837103.png;;
Eminent Domain;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/xlhZE8R2GA8-z1nliIqSUk4t1jE=/fit-in/900x600/filters:no_upscale()/pic1160506.jpg;;
Fairy Tale;3,4,5;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/KkKDp8ZmADHrNkPFkRBKvGkFpJk=/fit-in/900x600/filters:no_upscale()/pic2024738.jpg;;
A Feast for Odin;1,2,3;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/p5cFyzJjEeXzBwfg2vof3R8h4Ac=/fit-in/900x600/filters:no_upscale()/pic3146943.png;;
Fields of Arle;1,2;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/pKllREhSqlALLWaQRDVxKDKuEO0=/fit-in/900x600/filters:no_upscale()/pic2225968.png;;Fred, Vivi
Five Tribes;2,3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/zemPGqup_Yeve-4N-H0ufktr9Fg=/fit-in/900x600/filters:no_upscale()/pic2055255.jpg;;Fred, Vivi
Flick 'em Up!;2,4;;;No;Team-Based;https://cf.geekdo-images.com/imagepage/img/6Y8xDQYmVdHeYKuvRxmylZmbgh8=/fit-in/900x600/filters:no_upscale()/pic2439671.png;;
Flip City;2,3;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/2h8cqYfDuHfkmpabKC04O4e-v9c=/fit-in/900x600/filters:no_upscale()/pic2499620.png;;
For Sale;4,5,6;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/3Jhd08GBTiqqk2MYNT8xIUdCfnQ=/fit-in/900x600/filters:no_upscale()/pic1513085.jpg;;Fred
The Fox in the Forest;2;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/AyK9K1mcrJNbU9qjun749OdQXms=/fit-in/900x600/filters:no_upscale()/pic3496085.jpg;;
Francis Drake;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/VmX8kP961_V3hW-hA_8kTbmjzdk=/fit-in/900x600/filters:no_upscale()/pic1616979.jpg;;
Freedom: The Underground Railroad;1,2,3,4;;;No;Cooperative;https://cf.geekdo-images.com/imagepage/img/Qfk_cFPCKrkNit9npWJKTvU0EbM=/fit-in/900x600/filters:no_upscale()/pic1478723.jpg;;
Fresco;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/e41xzI3_WLeJbkDVsiAFPCwzJS0=/fit-in/900x600/filters:no_upscale()/pic714398.jpg;;
Fugitive;2;Filler;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/loMkYGBMAbExwsa1VcM8lko4208=/fit-in/900x600/filters:no_upscale()/pic3481216.png;;
Galaxy Trucker;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/cU42uKWP1O5sakPA3Iv8zrVIVCw=/fit-in/900x600/filters:no_upscale()/pic3926631.jpg;;
Ganz schön clever;2,3;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/NzK_1i0BgaiE-yyJc1TyaI7RoVI=/fit-in/900x600/filters:no_upscale()/pic3941961.png;;
Genoa;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/c39H-WQkgI702YfLPR6h-BwHKZQ=/fit-in/900x600/filters:no_upscale()/pic450409.jpg;;
Ghost Blitz: Spooky Doo;3,4,5,6,7,8;Filler;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/GM08l8pibXD0qAWLrIUoVoTRnpI=/fit-in/900x600/filters:no_upscale()/pic3065487.png;;
Ghost Stories;4;Average;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/N1aTqyTf7g_Gk4S_WKCbz5yBZZk=/fit-in/900x600/filters:no_upscale()/pic1790243.jpg;;Fred
Glass Road;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/21FPr9tNSisr0wJgnwPwipne3jg=/fit-in/900x600/filters:no_upscale()/pic3505745.jpg;;
El Grande Big Box;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/_rMS9bS7FWhZ5qjSREnD9sWQ-OM=/fit-in/900x600/filters:no_upscale()/pic2748424.jpg;;
La Granja;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/SP9S5NLdZJOCorJnJVv_BeUVtnA=/fit-in/900x600/filters:no_upscale()/pic2031777.jpg;;
Great Western Trail;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/yb940ZsNQPpjUX7PK7Jx9YH_87o=/fit-in/900x600/filters:no_upscale()/pic3113247.jpg;;
The Grizzled;3,4,5;Short;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/kF_S50AU_fmz25-qzu5kQuCSc1Y=/fit-in/900x600/filters:no_upscale()/pic3719610.png;;
Guildhall Fantasy: Alliance;2;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/EuVTCYuudQJI1uwXppMrqUMlOrI=/fit-in/900x600/filters:no_upscale()/pic3167342.jpg;;
Hanabi;3,4,5;Short;Casual;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/TWf6YMT5YMzpj8Xnjp8dS6nJVRc=/fit-in/900x600/filters:no_upscale()/pic2007286.jpg;;
Happy Pigs;3,4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/bKK9f7VG94rP_Y9tPxby4KBWSZ4=/fit-in/900x600/filters:no_upscale()/pic2830958.jpg;;
Heart of Crown;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/0Ldsep6eGtpwQpJxAochQYOEnQI=/fit-in/900x600/filters:no_upscale()/pic3210468.jpg;;
Imperial Settlers;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/iazkiYF_597VwNDtk0Cf_iue-yg=/fit-in/900x600/filters:no_upscale()/pic2871265.jpg;;Fred
In the Year of the Dragon;3,4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/YEXPx-nrF_MA27yV4CaT4HSLylc=/fit-in/900x600/filters:no_upscale()/pic285822.jpg;;
Innovation;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/AF3qypFPWlUiQmM6MnWN-tOJ_1Q=/fit-in/900x600/filters:no_upscale()/pic1440811.jpg;;
Islebound;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/3GxWK0IiyrCEvHu9YIHFwKbRgYk=/fit-in/900x600/filters:no_upscale()/pic2812825.jpg;;
Istanbul;3,4,5;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/G7mfApQC7h3va6gBTkBz8v1kZec=/fit-in/900x600/filters:no_upscale()/pic1885326.jpg;;
Istanbul: The Dice Game;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/G2bmqN2yqG1Iwmk-PDlsEhgFEtY=/fit-in/900x600/filters:no_upscale()/pic4017301.jpg;;
Jaipur;2;Quick;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/gO3oWSSwnSuv2OpPxn6tbH8g6Nc=/fit-in/900x600/filters:no_upscale()/pic725500.jpg;;
Jamaica;4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/S3vB9iH4B0QhsHhc_P6uU9hyyoY=/fit-in/900x600/filters:no_upscale()/pic1502119.jpg;;
Kanagawa;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/tJu3FN7pOrdpTQ9hbf1b_v0fw7w=/fit-in/900x600/filters:no_upscale()/pic3105168.jpg;;
Keyflower;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/HR1V4BanUbsX5iBMhN6G0gmCCJI=/fit-in/900x600/filters:no_upscale()/pic2278942.jpg;;
KLASK;2;Quick;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/tTKJ2wI3fVl_hQ3UHyNHs4Shf6A=/fit-in/900x600/filters:no_upscale()/pic2627442.jpg;;
Legendary: A Marvel Deck Building Game;2,3,4;Average;;Yes;Competitive, Cooperative;https://cf.geekdo-images.com/imagepage/img/gTfZ6rV1kyRROhFBbbsnwU1QfvY=/fit-in/900x600/filters:no_upscale()/pic1430769.jpg;;
Letters from Whitechapel;2,3,4,5,6;Long;;Yes;Team-based;https://cf.geekdo-images.com/imagepage/img/f_1iSiSorZJDxOREFfPlDvrsKcM=/fit-in/900x600/filters:no_upscale()/pic1545654.jpg;;
Libertalia;3,4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/2LGdOdygUYNTq_DZ9obZFfs71Yc=/fit-in/900x600/filters:no_upscale()/pic1326136.jpg;;
